,ADJINC,AGEP,MAR,SCHL,ANC1P,OCCP,PERNP,ADJINC_PERNP
4,1013097,19,5,16.0,999,4150.0,2500.0,2532.7425
5,1013097,30,1,19.0,211,7840.0,30000.0,30392.91
7,1013097,45,4,19.0,210,6355.0,12000.0,12157.164
11,1013097,21,5,16.0,290,8140.0,98000.0,99283.506
12,1013097,20,5,16.0,20,2016.0,5000.0,5065.485
14,1013097,22,5,19.0,902,3930.0,8000.0,8104.776
18,1013097,57,5,17.0,290,4251.0,33000.0,33432.201
19,1013097,43,5,16.0,271,9620.0,10000.0,10130.97
20,1013097,29,5,20.0,50,4220.0,10400.0,10536.2088
21,1013097,19,5,18.0,800,4140.0,6000.0,6078.582
22,1013097,19,5,19.0,999,4435.0,3000.0,3039.291
23,1013097,19,5,16.0,210,4150.0,8000.0,8104.776
25,1013097,24,5,20.0,11,9830.0,25700.0,26036.5929
29,1013097,65,3,21.0,82,2600.0,200.0,202.6194
33,1013097,48,3,17.0,999,9130.0,4400.0,4457.6268
34,1013097,18,5,16.0,32,5740.0,5000.0,5065.485
35,1013097,29,5,16.0,924,9620.0,21000.0,21275.037
36,1013097,57,3,18.0,51,4220.0,700.0,709.1679
38,1013097,55,5,13.0,924,9620.0,8000.0,8104.776
43,1013097,18,5,18.0,924,4150.0,700.0,709.1679
44,1013097,18,5,16.0,999,4720.0,1000.0,1013.097
46,1013097,36,5,13.0,291,6355.0,5000.0,5065.485
47,1013097,19,5,16.0,50,9830.0,17600.0,17830.5072
48,1013097,43,5,16.0,271,9620.0,10000.0,10130.97
50,1013097,20,5,16.0,291,5240.0,2300.0,2330.1231
51,1013097,18,5,16.0,226,4420.0,2000.0,2026.194
53,1013097,41,4,17.0,811,6260.0,31000.0,31406.007
54,1013097,36,5,14.0,902,6355.0,21800.0,22085.5146
55,1013097,24,5,21.0,51,9830.0,24600.0,24922.1862
59,1013097,18,5,18.0,999,4760.0,6000.0,6078.582
63,1013097,20,5,19.0,740,7100.0,20000.0,20261.94
65,1013097,22,5,19.0,902,9830.0,25000.0,25327.425
69,1013097,21,5,16.0,171,2350.0,570.0,577.46529
71,1013097,19,5,19.0,210,5860.0,2000.0,2026.194
75,1013097,18,5,16.0,290,4350.0,410.0,415.36977
78,1013097,27,5,20.0,999,7140.0,21000.0,21275.037
80,1013097,20,5,16.0,917,4110.0,1400.0,1418.3358
81,1013097,19,5,19.0,218,4020.0,2500.0,2532.7425
90,1013097,19,5,16.0,98,5400.0,3000.0,3039.291
95,1013097,25,5,9.0,210,4020.0,8400.0,8510.0148
96,1013097,63,1,16.0,210,9620.0,26000.0,26340.522
97,1013097,40,5,15.0,902,4251.0,14700.0,14892.5259
100,1013097,22,5,14.0,211,4840.0,3000.0,3039.291
103,1013097,48,3,19.0,22,5350.0,16100.0,16310.8617
104,1013097,56,5,16.0,917,4251.0,21800.0,22085.5146
105,1013097,39,5,17.0,902,7120.0,36000.0,36471.492
112,1013097,27,5,20.0,917,4140.0,2000.0,2026.194
115,1013097,40,3,14.0,32,9645.0,840.0,851.00148
116,1013097,19,5,19.0,195,4251.0,5000.0,5065.485
118,1013097,46,3,17.0,902,4020.0,450.0,455.89365
120,1013097,20,5,18.0,999,3940.0,1900.0,1924.8843
122,1013097,23,5,21.0,148,2205.0,15000.0,15196.455
125,1013097,23,5,12.0,223,6260.0,200.0,202.6194
126,1013097,18,5,16.0,290,4720.0,1000.0,1013.097
128,1013097,20,5,19.0,999,5240.0,8500.0,8611.3245
130,1013097,22,5,13.0,210,4130.0,13300.0,13474.1901
132,1013097,18,5,16.0,24,5040.0,20000.0,20261.94
133,1013097,39,5,19.0,902,3740.0,520.0,526.81044
135,1013097,38,1,20.0,261,4251.0,70000.0,70916.79
136,1013097,63,1,16.0,210,9620.0,26000.0,26340.522
